Seed,Attack,Epsilon,Epsilon_Val,Clean_Acc,Robust_Acc,Acc_Drop,Attack_Success
456,FGSM,2/255,0.00784313725490196,82.6058201058201,1.6534391534391533,80.95238095238095,98.34656084656085
456,FGSM,4/255,0.01568627450980392,82.6058201058201,3.373015873015873,79.23280423280423,96.62698412698413
456,FGSM,8/255,0.03137254901960784,82.6058201058201,17.59259259259259,65.0132275132275,82.4074074074074
456,PGD-40,2/255,0.00784313725490196,82.6058201058201,0.0,82.6058201058201,100.0
456,PGD-40,4/255,0.01568627450980392,82.6058201058201,0.0,82.6058201058201,100.0
456,PGD-40,8/255,0.03137254901960784,82.6058201058201,0.0,82.6058201058201,100.0
456,C&W-L2,L2,0.0,82.6058201058201,0.0,82.6058201058201,100.0
42,FGSM,2/255,0.00784313725490196,82.93650793650794,1.1904761904761905,81.74603174603176,98.80952380952381
42,FGSM,4/255,0.01568627450980392,82.93650793650794,1.3227513227513228,81.61375661375662,98.67724867724868
42,FGSM,8/255,0.03137254901960784,82.93650793650794,6.746031746031746,76.1904761904762,93.25396825396825
42,PGD-40,2/255,0.00784313725490196,82.93650793650794,0.0,82.93650793650794,100.0
42,PGD-40,4/255,0.01568627450980392,82.93650793650794,0.0,82.93650793650794,100.0
42,PGD-40,8/255,0.03137254901960784,82.93650793650794,0.0,82.93650793650794,100.0
42,C&W-L2,L2,0.0,82.93650793650794,0.0,82.93650793650794,100.0
123,FGSM,2/255,0.00784313725490196,83.06878306878306,1.455026455026455,81.61375661375662,98.54497354497354
123,FGSM,4/255,0.01568627450980392,83.06878306878306,2.447089947089947,80.62169312169313,97.55291005291005
123,FGSM,8/255,0.03137254901960784,83.06878306878306,11.64021164021164,71.42857142857143,88.35978835978835
123,PGD-40,2/255,0.00784313725490196,83.06878306878306,0.0,83.06878306878306,100.0
123,PGD-40,4/255,0.01568627450980392,83.06878306878306,0.0,83.06878306878306,100.0
123,PGD-40,8/255,0.03137254901960784,83.06878306878306,0.0,83.06878306878306,100.0
123,C&W-L2,L2,0.0,83.06878306878306,0.0,83.06878306878306,100.0
