approach,seed,clean_accuracy,robust_accuracy,attack_success_rate,robustness_gap,total_samples
baseline,42,0.8273809523809523,0.0006613756613756613,0.9992006394884093,0.8267195767195766,1512
baseline,123,0.843915343915344,0.0006613756613756613,0.9992163009404389,0.8432539682539683,1512
baseline,456,0.8207671957671958,0.007275132275132275,0.9911361804995971,0.8134920634920635,1512
trades,42,0.6144179894179894,0.49404761904761907,0.1959095801937567,0.12037037037037035,1512
trades,123,0.626984126984127,0.6038359788359788,0.03691983122362874,0.02314814814814814,1512
trades,456,0.6157407407407407,0.5615079365079365,0.08807733619763691,0.05423280423280419,1512
tri_objective,42,0.7625661375661376,0.022486772486772486,0.9705117085862967,0.7400793650793651,1512
tri_objective,123,0.753968253968254,0.009259259259259259,0.987719298245614,0.7447089947089947,1512
tri_objective,456,0.7599206349206349,0.011243386243386243,0.9852045256744996,0.7486772486772486,1512
